Type,Subtype,One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Eleven ,Twelve,Thirteen,Fourteen,Fifteen,Sixteen,Seventeen,Eighteen,Nineteen,Twenty,Total
Physical,uncharged,1,0,2,0,4,1,2,0,0,0,1,1,1,3,1,2,1,2,2,1,25
Physical,highest number,2,1,1,4,0,0,0,0,5,1,1,0,0,2,1,1,2,0,3,1,25
Physical,lowest number,1,2,0,0,0,2,2,1,3,1,3,1,0,3,3,1,0,0,0,2,25
Physical,average,0,1,2,0,2,2,1,1,0,2,3,2,0,0,0,1,2,1,2,3,25
Digital,discord bot,0,0,1,1,3,2,0,2,2,3,1,1,1,0,1,1,1,2,2,1,25
Digital,dnd beyond,0,2,1,3,0,1,1,1,1,1,0,1,4,2,1,1,1,1,0,3,25
Digital,google,1,2,0,0,2,0,1,2,2,2,0,2,0,0,2,1,2,1,4,1,25
